Date,Open,High,Low,Close,Volume
2015-09-03,354.0,354.25,347.25,347.75,8523
2015-09-04,348.0,350.75,346.75,349.5,5793
2015-09-08,354.25,355.5,351.0,355.0,4757
2015-09-09,353.25,359.25,353.25,356.5,4069
2015-09-10,356.0,362.25,355.5,361.75,2090
2015-09-11,361.75,374.75,357.0,374.5,2234
2015-09-14,377.5,381.0,375.0,379.0,191326
2015-09-15,392.75,395.0,388.75,390.5,137584
2015-09-16,390.0,391.0,383.0,386.0,136515
2015-09-17,385.25,385.5,379.25,379.75,100749
2015-09-18,380.0,382.5,376.5,377.25,122700
2015-09-21,376.5,385.5,375.0,384.5,148745
2015-09-22,384.0,384.5,377.25,380.5,125418
2015-09-23,379.5,384.5,379.0,383.25,99196
2015-09-24,382.75,384.0,379.25,381.5,106335
2015-09-25,381.25,389.5,381.0,389.0,143043
2015-09-28,388.75,392.5,383.75,386.75,143666
2015-09-29,387.25,389.5,385.0,389.0,128653
2015-09-30,389.0,394.5,383.5,387.75,268863
2015-10-01,387.75,393.0,385.0,388.75,136427
2015-10-02,388.0,391.5,384.0,389.25,164402
2015-10-05,389.25,394.0,388.75,393.5,113450
2015-10-06,392.75,399.0,391.75,398.25,190309
2015-10-07,397.5,399.75,393.75,395.75,146387
2015-10-08,394.75,395.75,390.5,391.25,131351
2015-10-09,391.0,394.25,381.5,382.75,262772
2015-10-12,381.5,385.25,380.25,380.75,134597
2015-10-13,381.0,384.75,379.0,384.5,148065
2015-10-14,384.5,386.75,378.5,379.0,137517
2015-10-15,378.75,379.5,375.0,375.5,123418
2015-10-16,375.5,378.0,372.5,376.75,142264
2015-10-19,377.25,377.5,372.5,373.0,120046
2015-10-20,372.75,377.75,372.0,376.75,169213
2015-10-21,377.0,381.0,375.5,380.75,215666
2015-10-22,380.25,383.5,377.5,378.25,132712
2015-10-23,377.75,380.0,375.0,379.75,171647
2015-10-26,380.0,385.75,378.0,384.5,200132
2015-10-27,384.0,387.5,379.0,380.0,205737
2015-10-28,379.75,380.75,375.75,376.0,153094
2015-10-29,376.0,380.5,375.5,380.0,146184
2015-10-30,379.75,383.75,378.75,382.25,152847
2015-11-02,381.25,381.75,376.0,376.5,173276
2015-11-03,376.5,382.25,375.75,380.5,247284
2015-11-04,379.5,383.5,376.5,380.5,245045
2015-11-05,379.5,379.75,373.75,374.5,241092
2015-11-06,374.75,375.25,370.0,373.0,218103
2015-11-09,372.75,375.5,366.5,366.75,295989
2015-11-10,367.0,367.75,356.0,359.0,428758
